Id,Household_External_ID__c
001aj00003rOxZxAAK,HH-0001
001aj00003rOxZyAAK,HH-0002
001aj00003rOxZzAAK,HH-0003
001aj00003rOxa0AAC,HH-0004
001aj00003rOxa1AAC,HH-0005
001aj00003rOxa2AAC,HH-0006
001aj00003rOxa3AAC,HH-0007
001aj00003rOxa4AAC,HH-0008
001aj00003rOxa5AAC,HH-0009
001aj00003rOxa6AAC,HH-0010
001aj00003rOxa7AAC,HH-0011
001aj00003rOxa8AAC,HH-0012
001aj00003rOxa9AAC,HH-0013
001aj00003rOxaAAAS,HH-0014
001aj00003rOxaBAAS,HH-0015
001aj00003rOxaCAAS,HH-0016
001aj00003rOxaDAAS,HH-0017
001aj00003rOxaEAAS,HH-0018
001aj00003rOxaFAAS,HH-0019
001aj00003rOxaGAAS,HH-0020
001aj00003rOxaHAAS,HH-0021
001aj00003rOxaIAAS,HH-0022
001aj00003rOxaJAAS,HH-0023
001aj00003rOxaKAAS,HH-0024
001aj00003rOxaLAAS,HH-0025
001aj00003rOxaMAAS,HH-0026
001aj00003rOxaNAAS,HH-0027
001aj00003rOxaOAAS,HH-0028
001aj00003rOxaPAAS,HH-0029
001aj00003rOxaQAAS,HH-0030
001aj00003rOxaRAAS,HH-0031
001aj00003rOxaSAAS,HH-0032
001aj00003rOxaTAAS,HH-0033
001aj00003rOxaUAAS,HH-0034
001aj00003rOxaVAAS,HH-0035
001aj00003rOxaWAAS,HH-0036
001aj00003rOxaXAAS,HH-0037
001aj00003rOxaYAAS,HH-0038
001aj00003rOxaZAAS,HH-0039
001aj00003rOxaaAAC,HH-0040
001aj00003rOxabAAC,HH-0041
001aj00003rOxacAAC,HH-0042
001aj00003rOxadAAC,HH-0043
001aj00003rOxaeAAC,HH-0044
001aj00003rOxafAAC,HH-0045
001aj00003rOxagAAC,HH-0046
001aj00003rOxahAAC,HH-0047
001aj00003rOxaiAAC,HH-0048
001aj00003rOxajAAC,HH-0049
001aj00003rOxakAAC,HH-0050
