Service_Request_External_ID__c,ContactId,AccountId,Subject,Description,Status,Priority,Origin
SR-00001,003aj00002LIvnWAAT,001aj00003rOxZxAAK,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Low,Phone
SR-00002,003aj00002LIvnYAAT,001aj00003rOxZyAAK,Profile information update,Client requested assistance regarding profile information update.,Closed,Low,Phone
SR-00003,003aj00002LIvnZAAT,001aj00003rOxZzAAK,Document request,Client requested assistance regarding document request.,Closed,Medium,Web
SR-00004,003aj00002LIvncAAD,001aj00003rOxZzAAK,Account access issue,Client requested assistance regarding account access issue.,Closed,Medium,Email
SR-00005,003aj00002LIvndAAD,001aj00003rOxa0AAC,Address change,Client requested assistance regarding address change.,Closed,Medium,Email
SR-00006,003aj00002LIvneAAD,001aj00003rOxa0AAC,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Email
SR-00007,003aj00002LIvniAAD,001aj00003rOxa1AAC,Address change,Client requested assistance regarding address change.,New,Low,Phone
SR-00008,003aj00002LIvnoAAD,001aj00003rOxa3AAC,Tax document request,Client requested assistance regarding tax document request.,Closed,Low,Email
SR-00009,003aj00002LIvnqAAD,001aj00003rOxa4AAC,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web
SR-00010,003aj00002LIvntAAD,001aj00003rOxa5AAC,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,High,Email
SR-00011,003aj00002LIvnwAAD,001aj00003rOxa7AAC,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web
SR-00012,003aj00002LIvnxAAD,001aj00003rOxa7AAC,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Email
SR-00013,003aj00002LIvnzAAD,001aj00003rOxa7AAC,Beneficiary update,Client requested assistance regarding beneficiary update.,New,High,Phone
SR-00014,003aj00002LIvo1AAD,001aj00003rOxa8AAC,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Email
SR-00015,003aj00002LIvo3AAD,001aj00003rOxa8AAC,Address change,Client requested assistance regarding address change.,New,Medium,Web
SR-00016,003aj00002LIvo4AAD,001aj00003rOxa9AAC,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Medium,Email
SR-00017,003aj00002LIvo6AAD,001aj00003rOxa9AAC,Account access issue,Client requested assistance regarding account access issue.,New,Medium,Phone
SR-00018,003aj00002LIvo8AAD,001aj00003rOxaAAAS,Tax document request,Client requested assistance regarding tax document request.,New,Medium,Web
SR-00019,003aj00002LIvoBAAT,001aj00003rOxaBAAS,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Email
SR-00020,003aj00002LIvoDAAT,001aj00003rOxaCAAS,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,High,Web
SR-00021,003aj00002LIvoFAAT,001aj00003rOxaDAAS,Profile information update,Client requested assistance regarding profile information update.,New,High,Web
SR-00022,003aj00002LIvoLAAT,001aj00003rOxaFAAS,Address change,Client requested assistance regarding address change.,Closed,Medium,Web
SR-00023,003aj00002LIvoMAAT,001aj00003rOxaFAAS,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Phone
SR-00024,003aj00002LIvoNAAT,001aj00003rOxaGAAS,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Low,Phone
SR-00025,003aj00002LIvoQAAT,001aj00003rOxaHAAS,Address change,Client requested assistance regarding address change.,Closed,Medium,Email
SR-00026,003aj00002LIvoUAAT,001aj00003rOxaJAAS,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Phone
SR-00027,003aj00002LIvoXAAT,001aj00003rOxaKAAS,Document request,Client requested assistance regarding document request.,New,High,Phone
SR-00028,003aj00002LIvoZAAT,001aj00003rOxaLAAS,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,High,Phone
SR-00029,003aj00002LIvoaAAD,001aj00003rOxaLAAS,Profile information update,Client requested assistance regarding profile information update.,Closed,High,Phone
SR-00030,003aj00002LIvobAAD,001aj00003rOxaLAAS,Statement delivery issue,Client requested assistance regarding statement delivery issue.,New,Medium,Web
SR-00031,003aj00002LIvodAAD,001aj00003rOxaMAAS,Document request,Client requested assistance regarding document request.,Closed,High,Web
SR-00032,003aj00002LIvoeAAD,001aj00003rOxaNAAS,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web
SR-00033,003aj00002LIvofAAD,001aj00003rOxaNAAS,Account access issue,Client requested assistance regarding account access issue.,Closed,Low,Phone
SR-00034,003aj00002LIvoiAAD,001aj00003rOxaOAAS,Address change,Client requested assistance regarding address change.,Closed,Medium,Web
SR-00035,003aj00002LIvojAAD,001aj00003rOxaOAAS,Tax document request,Client requested assistance regarding tax document request.,New,Low,Email
SR-00036,003aj00002LIvokAAD,001aj00003rOxaPAAS,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Phone
SR-00037,003aj00002LIvomAAD,001aj00003rOxaPAAS,Document request,Client requested assistance regarding document request.,New,Medium,Phone
SR-00038,003aj00002LIvopAAD,001aj00003rOxaRAAS,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Web
SR-00039,003aj00002LIvosAAD,001aj00003rOxaRAAS,Account access issue,Client requested assistance regarding account access issue.,Closed,Medium,Phone
SR-00040,003aj00002LIvovAAD,001aj00003rOxaSAAS,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Email
SR-00041,003aj00002LIvoxAAD,001aj00003rOxaTAAS,Tax document request,Client requested assistance regarding tax document request.,Closed,Medium,Web
SR-00042,003aj00002LIvp0AAD,001aj00003rOxaUAAS,Address change,Client requested assistance regarding address change.,Closed,High,Web
SR-00043,003aj00002LIvp4AAD,001aj00003rOxaWAAS,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Phone
SR-00044,003aj00002LIvpCAAT,001aj00003rOxaYAAS,Account access issue,Client requested assistance regarding account access issue.,Closed,High,Phone
SR-00045,003aj00002LIvpIAAT,001aj00003rOxabAAC,Account access issue,Client requested assistance regarding account access issue.,New,Medium,Phone
SR-00046,003aj00002LIvpKAAT,001aj00003rOxabAAC,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Phone
SR-00047,003aj00002LIvpMAAT,001aj00003rOxacAAC,Address change,Client requested assistance regarding address change.,Closed,High,Email
SR-00048,003aj00002LIvpPAAT,001aj00003rOxadAAC,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Email
SR-00049,003aj00002LIvpQAAT,001aj00003rOxadAAC,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Email
SR-00050,003aj00002LIvpRAAT,001aj00003rOxadAAC,Document request,Client requested assistance regarding document request.,Closed,Medium,Web
SR-00051,003aj00002LIvpWAAT,001aj00003rOxaeAAC,Profile information update,Client requested assistance regarding profile information update.,Closed,Low,Web
SR-00052,003aj00002LIvpZAAT,001aj00003rOxafAAC,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Medium,Email
SR-00053,003aj00002LIvpbAAD,001aj00003rOxagAAC,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Phone
SR-00054,003aj00002LIvpdAAD,001aj00003rOxahAAC,Document request,Client requested assistance regarding document request.,Closed,Medium,Web
SR-00055,003aj00002LIvpkAAD,001aj00003rOxaiAAC,Tax document request,Client requested assistance regarding tax document request.,Closed,Low,Phone
SR-00056,003aj00002LIvplAAD,001aj00003rOxajAAC,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Email
SR-00057,003aj00002LIvpnAAD,001aj00003rOxakAAC,Profile information update,Client requested assistance regarding profile information update.,New,Medium,Phone
SR-00058,003aj00002LIvpoAAD,001aj00003rOxakAAC,Address change,Client requested assistance regarding address change.,New,Medium,Phone
