Holding_ID,Portfolio_Account_ID,Symbol,Security_Name,Asset_Class,Market_Value,Portfolio_Weight
HLD-000001,PA-00001,MSFT,Microsoft Corp.,Equity,24793.62,32.53
HLD-000002,PA-00001,SPY,SPDR S&P 500 ETF,ETF,19313.05,25.34
HLD-000003,PA-00001,BND,Vanguard Total Bond Market ETF,ETF,20579.38,27.0
HLD-000004,PA-00001,AAPL,Apple Inc.,Equity,4900.77,6.43
HLD-000005,PA-00001,GOOGL,Alphabet Inc.,Equity,6638.17,8.71
HLD-000006,PA-00002,MSFT,Microsoft Corp.,Equity,178949.14,24.46
HLD-000007,PA-00002,AMZN,Amazon.com Inc.,Equity,102796.74,14.05
HLD-000008,PA-00002,VTI,Vanguard Total Stock Market ETF,ETF,63480.74,8.68
HLD-000009,PA-00002,GOOGL,Alphabet Inc.,Equity,234075.43,32.0
HLD-000010,PA-00002,AAPL,Apple Inc.,Equity,102018.81,13.95
HLD-000011,PA-00002,BND,Vanguard Total Bond Market ETF,ETF,50132.14,6.85
HLD-000012,PA-00003,VTI,Vanguard Total Stock Market ETF,ETF,20671.9,21.63
HLD-000013,PA-00003,AAPL,Apple Inc.,Equity,16188.13,16.94
HLD-000014,PA-00003,AMZN,Amazon.com Inc.,Equity,21358.7,22.35
HLD-000015,PA-00003,BND,Vanguard Total Bond Market ETF,ETF,15312.84,16.02
HLD-000016,PA-00003,GOOGL,Alphabet Inc.,Equity,18017.74,18.85
HLD-000017,PA-00003,MSFT,Microsoft Corp.,Equity,4011.68,4.2
HLD-000018,PA-00004,GOOGL,Alphabet Inc.,Equity,14853.25,9.53
HLD-000019,PA-00004,AMZN,Amazon.com Inc.,Equity,17275.82,11.08
HLD-000020,PA-00004,SPY,SPDR S&P 500 ETF,ETF,45504.79,29.19
HLD-000021,PA-00004,MSFT,Microsoft Corp.,Equity,33338.59,21.38
HLD-000022,PA-00004,BND,Vanguard Total Bond Market ETF,ETF,31698.65,20.33
HLD-000023,PA-00004,VTI,Vanguard Total Stock Market ETF,ETF,13235.9,8.49
HLD-000024,PA-00005,BND,Vanguard Total Bond Market ETF,ETF,260953.12,36.19
HLD-000025,PA-00005,GOOGL,Alphabet Inc.,Equity,256420.19,35.56
HLD-000026,PA-00005,AAPL,Apple Inc.,Equity,147165.07,20.41
HLD-000027,PA-00005,MSFT,Microsoft Corp.,Equity,56549.62,7.84
HLD-000028,PA-00006,AMZN,Amazon.com Inc.,Equity,27905.63,10.22
HLD-000029,PA-00006,BND,Vanguard Total Bond Market ETF,ETF,50456.03,18.49
HLD-000030,PA-00006,SPY,SPDR S&P 500 ETF,ETF,29060.17,10.65
HLD-000031,PA-00006,MSFT,Microsoft Corp.,Equity,52119.53,19.09
HLD-000032,PA-00006,VTI,Vanguard Total Stock Market ETF,ETF,74562.2,27.32
HLD-000033,PA-00006,AAPL,Apple Inc.,Equity,38851.44,14.23
HLD-000034,PA-00007,SPY,SPDR S&P 500 ETF,ETF,49309.1,33.93
HLD-000035,PA-00007,AAPL,Apple Inc.,Equity,59847.7,41.18
HLD-000036,PA-00007,MSFT,Microsoft Corp.,Equity,36168.2,24.89
HLD-000037,PA-00008,VTI,Vanguard Total Stock Market ETF,ETF,130921.6,21.65
HLD-000038,PA-00008,AAPL,Apple Inc.,Equity,118270.67,19.55
HLD-000039,PA-00008,BND,Vanguard Total Bond Market ETF,ETF,81587.35,13.49
HLD-000040,PA-00008,GOOGL,Alphabet Inc.,Equity,39599.74,6.55
HLD-000041,PA-00008,AMZN,Amazon.com Inc.,Equity,234436.62,38.76
HLD-000042,PA-00009,SPY,SPDR S&P 500 ETF,ETF,290027.74,49.8
HLD-000043,PA-00009,BND,Vanguard Total Bond Market ETF,ETF,191634.11,32.91
HLD-000044,PA-00009,GOOGL,Alphabet Inc.,Equity,100680.15,17.29
HLD-000045,PA-00010,AMZN,Amazon.com Inc.,Equity,100760.78,14.86
HLD-000046,PA-00010,AAPL,Apple Inc.,Equity,101134.85,14.92
HLD-000047,PA-00010,BND,Vanguard Total Bond Market ETF,ETF,187182.73,27.61
HLD-000048,PA-00010,GOOGL,Alphabet Inc.,Equity,58408.23,8.61
HLD-000049,PA-00010,MSFT,Microsoft Corp.,Equity,230551.4,34.0
HLD-000050,PA-00011,VTI,Vanguard Total Stock Market ETF,ETF,36195.92,19.6
HLD-000051,PA-00011,MSFT,Microsoft Corp.,Equity,22917.27,12.41
HLD-000052,PA-00011,GOOGL,Alphabet Inc.,Equity,34450.77,18.66
HLD-000053,PA-00011,AMZN,Amazon.com Inc.,Equity,21835.72,11.83
HLD-000054,PA-00011,AAPL,Apple Inc.,Equity,44090.84,23.88
HLD-000055,PA-00011,SPY,SPDR S&P 500 ETF,ETF,25137.47,13.62
HLD-000056,PA-00012,VTI,Vanguard Total Stock Market ETF,ETF,394805.7,59.2
HLD-000057,PA-00012,MSFT,Microsoft Corp.,Equity,93622.54,14.04
HLD-000058,PA-00012,AAPL,Apple Inc.,Equity,97579.68,14.63
HLD-000059,PA-00012,SPY,SPDR S&P 500 ETF,ETF,80878.08,12.13
HLD-000060,PA-00013,BND,Vanguard Total Bond Market ETF,ETF,59242.58,21.57
HLD-000061,PA-00013,VTI,Vanguard Total Stock Market ETF,ETF,94552.15,34.43
HLD-000062,PA-00013,SPY,SPDR S&P 500 ETF,ETF,84432.13,30.74
HLD-000063,PA-00013,AMZN,Amazon.com Inc.,Equity,36416.14,13.26
HLD-000064,PA-00014,BND,Vanguard Total Bond Market ETF,ETF,54417.85,10.08
HLD-000065,PA-00014,SPY,SPDR S&P 500 ETF,ETF,232967.23,43.17
HLD-000066,PA-00014,AAPL,Apple Inc.,Equity,252324.92,46.75
HLD-000067,PA-00015,MSFT,Microsoft Corp.,Equity,48951.56,24.85
HLD-000068,PA-00015,GOOGL,Alphabet Inc.,Equity,51419.76,26.1
HLD-000069,PA-00015,AMZN,Amazon.com Inc.,Equity,12394.7,6.29
HLD-000070,PA-00015,SPY,SPDR S&P 500 ETF,ETF,40926.95,20.78
HLD-000071,PA-00015,AAPL,Apple Inc.,Equity,35183.96,17.86
HLD-000072,PA-00015,VTI,Vanguard Total Stock Market ETF,ETF,8114.07,4.12
HLD-000073,PA-00016,AMZN,Amazon.com Inc.,Equity,28223.92,12.58
HLD-000074,PA-00016,SPY,SPDR S&P 500 ETF,ETF,61018.43,27.19
HLD-000075,PA-00016,MSFT,Microsoft Corp.,Equity,22070.51,9.84
HLD-000076,PA-00016,BND,Vanguard Total Bond Market ETF,ETF,50134.18,22.34
HLD-000077,PA-00016,AAPL,Apple Inc.,Equity,32336.39,14.41
HLD-000078,PA-00016,GOOGL,Alphabet Inc.,Equity,30605.58,13.64
HLD-000079,PA-00017,GOOGL,Alphabet Inc.,Equity,76773.11,36.16
HLD-000080,PA-00017,MSFT,Microsoft Corp.,Equity,17238.19,8.12
HLD-000081,PA-00017,AAPL,Apple Inc.,Equity,62656.79,29.51
HLD-000082,PA-00017,VTI,Vanguard Total Stock Market ETF,ETF,55647.91,26.21
HLD-000083,PA-00018,VTI,Vanguard Total Stock Market ETF,ETF,57109.79,23.32
HLD-000084,PA-00018,AAPL,Apple Inc.,Equity,113298.93,46.27
HLD-000085,PA-00018,MSFT,Microsoft Corp.,Equity,74442.28,30.4
HLD-000086,PA-00019,GOOGL,Alphabet Inc.,Equity,83723.93,17.1
HLD-000087,PA-00019,MSFT,Microsoft Corp.,Equity,126609.11,25.86
HLD-000088,PA-00019,SPY,SPDR S&P 500 ETF,ETF,68835.01,14.06
HLD-000089,PA-00019,BND,Vanguard Total Bond Market ETF,ETF,71349.97,14.57
HLD-000090,PA-00019,AMZN,Amazon.com Inc.,Equity,139070.99,28.41
HLD-000091,PA-00020,VTI,Vanguard Total Stock Market ETF,ETF,45412.63,35.81
HLD-000092,PA-00020,GOOGL,Alphabet Inc.,Equity,45341.93,35.75
HLD-000093,PA-00020,MSFT,Microsoft Corp.,Equity,22729.54,17.92
HLD-000094,PA-00020,BND,Vanguard Total Bond Market ETF,ETF,13334.9,10.51
HLD-000095,PA-00021,BND,Vanguard Total Bond Market ETF,ETF,217787.91,34.49
HLD-000096,PA-00021,AAPL,Apple Inc.,Equity,186720.48,29.57
HLD-000097,PA-00021,MSFT,Microsoft Corp.,Equity,62918.0,9.96
HLD-000098,PA-00021,GOOGL,Alphabet Inc.,Equity,89558.75,14.18
HLD-000099,PA-00021,SPY,SPDR S&P 500 ETF,ETF,74556.85,11.81
HLD-000100,PA-00022,GOOGL,Alphabet Inc.,Equity,22205.11,3.83
HLD-000101,PA-00022,AAPL,Apple Inc.,Equity,138624.02,23.9
