Portfolio_Account_ID,Household_External_ID,Account_Type,Market_Value,Currency
PA-00001,HH-0001,Individual Investment Account,76225,CAD
PA-00002,HH-0001,Retirement Account,731453,CAD
PA-00003,HH-0001,TFSA,95561,CAD
PA-00004,HH-0002,Retirement Account,155907,CAD
PA-00005,HH-0003,TFSA,721088,CAD
PA-00006,HH-0003,TFSA,272955,CAD
PA-00007,HH-0004,RRSP,145325,CAD
PA-00008,HH-0004,RRSP,604816,CAD
PA-00009,HH-0004,Retirement Account,582342,CAD
PA-00010,HH-0005,Individual Investment Account,678038,CAD
PA-00011,HH-0005,Retirement Account,184628,CAD
PA-00012,HH-0005,Individual Investment Account,666886,CAD
PA-00013,HH-0006,RRSP,274643,CAD
PA-00014,HH-0006,RRSP,539710,CAD
PA-00015,HH-0007,RRSP,196991,CAD
PA-00016,HH-0007,Retirement Account,224389,CAD
PA-00017,HH-0007,RRSP,212316,CAD
PA-00018,HH-0008,Individual Investment Account,244851,CAD
PA-00019,HH-0008,Individual Investment Account,489589,CAD
PA-00020,HH-0008,Individual Investment Account,126819,CAD
PA-00021,HH-0009,Individual Investment Account,631542,CAD
PA-00022,HH-0009,TFSA,579959,CAD
PA-00023,HH-0009,Individual Investment Account,206294,CAD
PA-00024,HH-0010,TFSA,270281,CAD
PA-00025,HH-0011,RRSP,75990,CAD
PA-00026,HH-0012,TFSA,370015,CAD
PA-00027,HH-0012,TFSA,78941,CAD
PA-00028,HH-0013,RRSP,685656,CAD
PA-00029,HH-0013,Retirement Account,431913,CAD
PA-00030,HH-0014,Retirement Account,695414,CAD
PA-00031,HH-0014,Retirement Account,740855,CAD
PA-00032,HH-0015,Retirement Account,75611,CAD
PA-00033,HH-0016,RRSP,568392,CAD
PA-00034,HH-0016,TFSA,514071,CAD
PA-00035,HH-0016,TFSA,295884,CAD
PA-00036,HH-0017,Retirement Account,490552,CAD
PA-00037,HH-0018,RRSP,280080,CAD
PA-00038,HH-0019,Individual Investment Account,138025,CAD
PA-00039,HH-0019,RRSP,70324,CAD
PA-00040,HH-0020,Retirement Account,300132,CAD
PA-00041,HH-0021,TFSA,163349,CAD
PA-00042,HH-0022,TFSA,679577,CAD
PA-00043,HH-0023,RRSP,160665,CAD
PA-00044,HH-0023,TFSA,387960,CAD
PA-00045,HH-0024,RRSP,272423,CAD
PA-00046,HH-0025,RRSP,727278,CAD
PA-00047,HH-0026,RRSP,334076,CAD
PA-00048,HH-0026,TFSA,155409,CAD
PA-00049,HH-0026,Retirement Account,718854,CAD
PA-00050,HH-0027,Individual Investment Account,209097,CAD
PA-00051,HH-0027,RRSP,522398,CAD
PA-00052,HH-0027,Individual Investment Account,214136,CAD
PA-00053,HH-0028,Retirement Account,327405,CAD
PA-00054,HH-0029,TFSA,510485,CAD
PA-00055,HH-0029,Individual Investment Account,503014,CAD
PA-00056,HH-0029,Individual Investment Account,233700,CAD
PA-00057,HH-0030,RRSP,352218,CAD
PA-00058,HH-0030,Individual Investment Account,246694,CAD
PA-00059,HH-0030,Retirement Account,216071,CAD
PA-00060,HH-0031,TFSA,485673,CAD
PA-00061,HH-0031,TFSA,52689,CAD
PA-00062,HH-0032,Retirement Account,649573,CAD
PA-00063,HH-0032,TFSA,155239,CAD
PA-00064,HH-0032,TFSA,609543,CAD
PA-00065,HH-0033,RRSP,224446,CAD
PA-00066,HH-0034,RRSP,699813,CAD
PA-00067,HH-0034,Retirement Account,127449,CAD
PA-00068,HH-0034,TFSA,73005,CAD
PA-00069,HH-0035,Retirement Account,708765,CAD
PA-00070,HH-0035,TFSA,392589,CAD
PA-00071,HH-0035,Individual Investment Account,197594,CAD
PA-00072,HH-0036,RRSP,719567,CAD
PA-00073,HH-0036,TFSA,730776,CAD
PA-00074,HH-0037,Retirement Account,485037,CAD
PA-00075,HH-0037,Retirement Account,430303,CAD
PA-00076,HH-0037,RRSP,146126,CAD
PA-00077,HH-0038,Retirement Account,664867,CAD
PA-00078,HH-0038,Retirement Account,165266,CAD
PA-00079,HH-0038,RRSP,601640,CAD
PA-00080,HH-0039,Individual Investment Account,740909,CAD
PA-00081,HH-0039,Retirement Account,118872,CAD
PA-00082,HH-0039,Individual Investment Account,736516,CAD
PA-00083,HH-0040,Retirement Account,547305,CAD
PA-00084,HH-0040,TFSA,178168,CAD
PA-00085,HH-0041,Retirement Account,499956,CAD
PA-00086,HH-0041,Retirement Account,200210,CAD
PA-00087,HH-0042,Retirement Account,697850,CAD
PA-00088,HH-0043,Individual Investment Account,411939,CAD
PA-00089,HH-0043,TFSA,175812,CAD
PA-00090,HH-0043,TFSA,125576,CAD
PA-00091,HH-0044,Retirement Account,698151,CAD
PA-00092,HH-0044,Individual Investment Account,606379,CAD
PA-00093,HH-0045,RRSP,536490,CAD
PA-00094,HH-0046,Individual Investment Account,109653,CAD
PA-00095,HH-0046,Retirement Account,387145,CAD
PA-00096,HH-0047,TFSA,346635,CAD
PA-00097,HH-0047,TFSA,135461,CAD
PA-00098,HH-0048,Individual Investment Account,727406,CAD
PA-00099,HH-0048,Individual Investment Account,744083,CAD
PA-00100,HH-0048,Retirement Account,515776,CAD
PA-00101,HH-0049,RRSP,345459,CAD
PA-00102,HH-0049,Individual Investment Account,218099,CAD
PA-00103,HH-0050,RRSP,135569,CAD
