Portfolio_Account_ID,As_Of_Date,Portfolio_Return_1Y,Benchmark_Return_1Y,Relative_Performance
PA-00001,2026-09-09,-1.95,7.04,-8.99
PA-00002,2026-09-09,-5.49,11.95,-17.44
PA-00003,2026-09-09,-2.07,0.79,-2.86
PA-00004,2026-09-09,10.96,-1.73,12.69
PA-00005,2026-09-09,15.74,6.34,9.4
PA-00006,2026-09-09,-2.3,14.95,-17.25
PA-00007,2026-09-09,-6.35,2.63,-8.98
PA-00008,2026-09-09,10.71,14.44,-3.73
PA-00009,2026-09-09,1.72,-1.77,3.49
PA-00010,2026-09-09,13.22,14.56,-1.34
PA-00011,2026-09-09,-1.55,-3.72,2.17
PA-00012,2026-09-09,0.59,5.28,-4.69
PA-00013,2026-09-09,9.13,2.09,7.04
PA-00014,2026-09-09,-5.16,-1.17,-3.99
PA-00015,2026-09-09,-5.58,10.07,-15.65
PA-00016,2026-09-09,16.89,14.91,1.98
PA-00017,2026-09-09,14.17,-1.85,16.02
PA-00018,2026-09-09,7.05,-4.21,11.26
PA-00019,2026-09-09,-6.11,4.17,-10.28
PA-00020,2026-09-09,13.68,9.07,4.61
PA-00021,2026-09-09,0.91,8.75,-7.84
PA-00022,2026-09-09,3.12,-4.81,7.93
PA-00023,2026-09-09,1.48,13.66,-12.18
PA-00024,2026-09-09,-3.77,11.0,-14.77
PA-00025,2026-09-09,14.32,-0.55,14.87
PA-00026,2026-09-09,8.68,2.99,5.69
PA-00027,2026-09-09,3.3,9.57,-6.27
PA-00028,2026-09-09,16.06,5.77,10.29
PA-00029,2026-09-09,-4.69,3.41,-8.1
PA-00030,2026-09-09,9.57,5.22,4.35
PA-00031,2026-09-09,9.49,-0.51,10.0
PA-00032,2026-09-09,8.37,-1.11,9.48
PA-00033,2026-09-09,3.87,11.03,-7.16
PA-00034,2026-09-09,-1.78,3.8,-5.58
PA-00035,2026-09-09,0.6,4.32,-3.72
PA-00036,2026-09-09,11.1,11.0,0.1
PA-00037,2026-09-09,17.5,5.68,11.82
PA-00038,2026-09-09,2.96,11.7,-8.74
PA-00039,2026-09-09,16.69,-1.01,17.7
PA-00040,2026-09-09,17.06,9.37,7.69
PA-00041,2026-09-09,9.96,7.54,2.42
PA-00042,2026-09-09,5.15,1.82,3.33
PA-00043,2026-09-09,3.32,9.62,-6.3
PA-00044,2026-09-09,-7.25,12.02,-19.27
PA-00045,2026-09-09,10.72,4.77,5.95
PA-00046,2026-09-09,11.39,1.62,9.77
PA-00047,2026-09-09,4.59,9.49,-4.9
PA-00048,2026-09-09,-6.58,0.84,-7.42
PA-00049,2026-09-09,2.42,-3.52,5.94
PA-00050,2026-09-09,12.56,-0.49,13.05
PA-00051,2026-09-09,-3.92,-1.52,-2.4
PA-00052,2026-09-09,-0.65,12.19,-12.84
PA-00053,2026-09-09,-3.69,1.15,-4.84
PA-00054,2026-09-09,4.84,-3.39,8.23
PA-00055,2026-09-09,9.48,0.39,9.09
PA-00056,2026-09-09,14.3,1.6,12.7
PA-00057,2026-09-09,14.6,4.24,10.36
PA-00058,2026-09-09,-7.25,7.6,-14.85
PA-00059,2026-09-09,-4.0,13.65,-17.65
PA-00060,2026-09-09,2.79,13.68,-10.89
PA-00061,2026-09-09,16.25,12.39,3.86
PA-00062,2026-09-09,4.88,-4.26,9.14
PA-00063,2026-09-09,10.01,8.0,2.01
PA-00064,2026-09-09,11.77,9.08,2.69
PA-00065,2026-09-09,-3.32,-1.5,-1.82
PA-00066,2026-09-09,12.92,13.02,-0.1
PA-00067,2026-09-09,1.33,0.92,0.41
PA-00068,2026-09-09,-3.06,0.01,-3.07
PA-00069,2026-09-09,11.04,-3.2,14.24
PA-00070,2026-09-09,0.81,-2.7,3.51
PA-00071,2026-09-09,1.58,9.98,-8.4
PA-00072,2026-09-09,8.52,4.29,4.23
PA-00073,2026-09-09,10.11,5.8,4.31
PA-00074,2026-09-09,1.63,3.87,-2.24
PA-00075,2026-09-09,-0.83,14.36,-15.19
PA-00076,2026-09-09,-2.66,11.6,-14.26
PA-00077,2026-09-09,17.68,5.8,11.88
PA-00078,2026-09-09,-3.47,-3.95,0.48
PA-00079,2026-09-09,3.75,-0.57,4.32
PA-00080,2026-09-09,15.38,1.44,13.94
PA-00081,2026-09-09,3.19,10.86,-7.67
PA-00082,2026-09-09,3.1,8.3,-5.2
PA-00083,2026-09-09,-4.62,-3.8,-0.82
PA-00084,2026-09-09,13.98,2.35,11.63
PA-00085,2026-09-09,15.96,2.02,13.94
PA-00086,2026-09-09,7.5,12.67,-5.17
PA-00087,2026-09-09,2.77,-0.69,3.46
PA-00088,2026-09-09,-4.43,0.11,-4.54
PA-00089,2026-09-09,5.01,11.67,-6.66
PA-00090,2026-09-09,-5.01,-4.58,-0.43
PA-00091,2026-09-09,0.66,-1.64,2.3
PA-00092,2026-09-09,11.77,8.11,3.66
PA-00093,2026-09-09,5.19,1.21,3.98
PA-00094,2026-09-09,-6.93,13.18,-20.11
PA-00095,2026-09-09,5.63,7.2,-1.57
PA-00096,2026-09-09,15.56,12.47,3.09
PA-00097,2026-09-09,12.58,11.26,1.32
PA-00098,2026-09-09,-0.31,10.76,-11.07
PA-00099,2026-09-09,3.38,3.22,0.16
PA-00100,2026-09-09,9.64,6.41,3.23
PA-00101,2026-09-09,5.41,-2.51,7.92
PA-00102,2026-09-09,-6.62,5.04,-11.66
PA-00103,2026-09-09,10.1,-2.22,12.32
