Transaction_ID,Household_External_ID,Portfolio_Account_ID,Transaction_Date,Transaction_Type,Symbol,Quantity,Price,Total_Amount,Currency
TXN-000001,HH-0001,PA-00001,2026-07-13,BUY,BND,75,141.32,10599.0,CAD
TXN-000002,HH-0001,PA-00001,2026-06-29,BUY,BND,194,448.79,87065.26,CAD
TXN-000003,HH-0001,PA-00001,2026-07-26,SELL,AAPL,12,69.51,834.12,CAD
TXN-000004,HH-0001,PA-00001,2026-05-12,BUY,VTI,55,365.11,20081.05,CAD
TXN-000005,HH-0001,PA-00001,2025-09-14,SELL,MSFT,119,304.9,36283.1,CAD
TXN-000006,HH-0001,PA-00001,2026-09-05,BUY,BND,113,186.62,21088.06,CAD
TXN-000007,HH-0001,PA-00001,2026-06-21,BUY,SPY,91,73.55,6693.05,CAD
TXN-000008,HH-0001,PA-00002,2026-07-21,SELL,SPY,93,311.77,28994.61,CAD
TXN-000009,HH-0001,PA-00002,2026-08-17,SELL,VTI,36,487.23,17540.28,CAD
TXN-000010,HH-0001,PA-00002,2026-02-27,BUY,VTI,80,418.97,33517.6,CAD
TXN-000011,HH-0001,PA-00002,2025-10-27,SELL,VTI,54,359.67,19422.18,CAD
TXN-000012,HH-0001,PA-00002,2026-08-16,BUY,SPY,79,492.98,38945.42,CAD
TXN-000013,HH-0001,PA-00003,2026-05-12,BUY,AMZN,76,240.37,18268.12,CAD
TXN-000014,HH-0001,PA-00003,2026-03-06,BUY,GOOGL,95,124.52,11829.4,CAD
TXN-000015,HH-0001,PA-00003,2026-04-25,BUY,VTI,167,106.29,17750.43,CAD
TXN-000016,HH-0001,PA-00003,2026-05-06,BUY,AMZN,102,153.23,15629.46,CAD
TXN-000017,HH-0001,PA-00003,2025-10-16,BUY,BND,88,425.35,37430.8,CAD
TXN-000018,HH-0001,PA-00003,2026-08-11,BUY,SPY,13,407.4,5296.2,CAD
TXN-000019,HH-0001,PA-00003,2026-02-15,SELL,AAPL,59,458.74,27065.66,CAD
TXN-000020,HH-0001,PA-00003,2025-11-22,SELL,MSFT,172,262.13,45086.36,CAD
TXN-000021,HH-0002,PA-00004,2026-01-17,BUY,GOOGL,40,142.15,5686.0,CAD
TXN-000022,HH-0002,PA-00004,2025-11-25,SELL,BND,154,228.51,35190.54,CAD
TXN-000023,HH-0002,PA-00004,2025-11-14,SELL,GOOGL,61,498.73,30422.53,CAD
TXN-000024,HH-0002,PA-00004,2026-06-30,SELL,AAPL,198,47.38,9381.24,CAD
TXN-000025,HH-0002,PA-00004,2026-07-14,BUY,BND,45,401.24,18055.8,CAD
TXN-000026,HH-0002,PA-00004,2026-02-04,BUY,AMZN,102,308.05,31421.1,CAD
TXN-000027,HH-0002,PA-00004,2026-01-12,SELL,VTI,7,348.13,2436.91,CAD
TXN-000028,HH-0003,PA-00005,2025-09-24,SELL,SPY,169,186.58,31532.02,CAD
TXN-000029,HH-0003,PA-00005,2026-04-11,SELL,MSFT,121,26.54,3211.34,CAD
TXN-000030,HH-0003,PA-00006,2026-04-27,BUY,VTI,32,438.5,14032.0,CAD
TXN-000031,HH-0003,PA-00006,2026-04-09,BUY,MSFT,100,387.19,38719.0,CAD
TXN-000032,HH-0003,PA-00006,2025-12-06,BUY,VTI,87,257.09,22366.83,CAD
TXN-000033,HH-0003,PA-00006,2026-07-13,SELL,SPY,83,138.74,11515.42,CAD
TXN-000034,HH-0003,PA-00006,2026-05-08,BUY,AAPL,192,255.85,49123.2,CAD
TXN-000035,HH-0003,PA-00006,2026-08-04,BUY,MSFT,173,250.76,43381.48,CAD
TXN-000036,HH-0003,PA-00006,2025-12-01,BUY,GOOGL,140,439.41,61517.4,CAD
TXN-000037,HH-0004,PA-00007,2026-05-23,BUY,BND,84,214.52,18019.68,CAD
TXN-000038,HH-0004,PA-00007,2025-09-30,SELL,AMZN,137,239.46,32806.02,CAD
TXN-000039,HH-0004,PA-00007,2026-05-05,BUY,AAPL,91,34.99,3184.09,CAD
